name,address,price,foot,footprice,district,"tag"
康澤花園D座中層6室,英皇道238號,980,532,18421,北角,"分層單位
大廈"
建邦大廈高層A室,渣華道112-114號,530,288,18402,北角,"分層單位
大廈"
富澤軒低層A室,堡壘街38A號,610,332,18373,北角,"分層單位
大廈"
樂嘉中心2座低層B室,英皇道466號,980,537,18249,北角,"分層單位
大廈"
健威花園B座中層7室,英皇道560號,830,456,18201,北角,"分層單位
大廈
有寵屋苑"
建業大廈高層E室,渣華道24號,420,231,18181,北角,"分層單位
大廈"
建邦大廈中層B室,渣華道112-114號,520,288,18055,北角,"分層單位
大廈"
和富豪庭高層B室,北角道33號,790,438,18036,北角,"分層單位
大廈"
嘉寶大廈高層B室,春秧街102-108號,597,335,17820,北角,"分層單位
大廈"
丹拿花園4座中層E室,丹拿道18號,1200,674,17804,北角,"分層單位
大廈"
英皇中心高層D室,英皇道193-241號,500,282,17730,北角,"分層單位
大廈"
城市花園1期5座低層B室,電氣道233號,1650,931,17722,北角,"分層單位
大廈"
和富中心2座低層E室,和富道23號,1840,1039,17709,北角,"分層單位
大廈
有寵屋苑"
和富中心14座低層B室,和富道47號,1900,1073,17707,北角,"分層單位
大廈
有寵屋苑"
海峯園1座(高峰閣)中層B室,福蔭道1-5號,1500,848,17688,北角,"分層單位
大廈"
嘉運大廈低層C室,月園街10-16號,270,153,17647,北角,"分層單位
大廈
有寵屋苑"
康威大廈低層C室,英皇道406-408號,580,330,17575,北角,"分層單位
大廈"
寶馬花園2座高層A室,馬寶道33號,828,473,17505,北角,"分層單位
大廈"
富景閣中層A室,清華街18-24號,448,256,17500,北角,"分層單位
大廈"
富澤軒中層A室,堡壘街38A號,580,332,17469,北角,"分層單位
大廈"
和富中心15座高層D室,和富道49號,1280,733,17462,北角,"分層單位
大廈
有寵屋苑"
港運城2座高層B室,丹拿道51-61號,1300,745,17449,北角,"分層單位
大廈"
富雅花園4座(金桃閣)高層F室,繼園臺1-2號,1080,619,17447,北角,"分層單位
大廈"
城市花園2期7座高層D室,電氣道233號,1680,966,17391,北角,"分層單位
大廈"
城市花園1期4座高層F室,電氣道233號,1550,897,17279,北角,"分層單位
大廈"
富利來大廈C座低層3室,京華道9-27號,410,238,17226,北角,"分層單位
大廈"
國賓大廈中層F室,書局街28號,580,337,17210,北角,"分層單位
大廈"
仁寶閣低層A室,和富道74-82號,510,297,17171,北角,"分層單位
大廈"
港運城2座低層G室,丹拿道51-61號,1350,788,17131,北角,"分層單位
大廈"
和富豪庭低層B室,北角道33號,750,438,17123,北角,"分層單位
大廈"
城市花園1期1座高層E室,電氣道233號,1380,807,17100,北角,"分層單位
大廈"
和富中心3座低層C室,和富道25號,1200,703,17069,北角,"分層單位
大廈
有寵屋苑"
丹拿花園1座中層D室,丹拿道18號,1150,674,17062,北角,"分層單位
大廈"
建邦大廈中層A室,渣華道112-114號,490,288,17013,北角,"分層單位
大廈"
城市花園2期9座中層D室,電氣道233號,1600,945,16931,北角,"分層單位
大廈"
和富中心1座低層D室,和富道21號,1480,875,16914,北角,"分層單位
大廈
有寵屋苑"
港運城1座低層F室,丹拿道51-61號,1330,788,16878,北角,"分層單位
大廈"
明苑中心中層B室,明園西街6號,610,362,16850,北角,"分層單位
大廈"
康威大廈高層H室,英皇道406-408號,528,315,16761,北角,"分層單位
大廈"
兆華大廈中層D室,七姊妹道116-122號,440,263,16730,北角,"分層單位
大廈"
建華花園中層A室,建華街2-8號,700,421,16627,北角,"分層單位
大廈"
益漢洋樓中層A室,渣華道72-78號,490,295,16610,北角,"分層單位
大廈"
康威大廈中層A室,英皇道406-408號,520,315,16507,北角,"分層單位
大廈"
康威大廈低層A室,英皇道406-408號,518,315,16444,北角,"分層單位
大廈"
丹拿花園2座中層F室,丹拿道18號,1380,840,16428,北角,"分層單位
大廈"
城市花園2期7座高層B室,電氣道233號,1650,1012,16304,北角,"分層單位
大廈
露台"
康威大廈低層E室,英皇道406-408號,480,295,16271,北角,"分層單位
大廈"
金堡大廈A座中層3室,炮台山道5-13號,950,584,16267,北角,"分層單位
大廈"
丹拿花園5座低層A室,丹拿道18號,1080,664,16265,北角,"分層單位
大廈"
明軒低層B室,明園西街16-22號,1098,681,16123,北角,"分層單位
大廈
有寵屋苑"
和富中心3座低層B室,和富道25號,1730,1073,16123,北角,"分層單位
大廈
有寵屋苑"
城市花園2期12座低層A室,電氣道233號,1680,1045,16076,北角,"分層單位
大廈"
富雅花園5座(金桂閣)高層A室,繼園臺5-6號,680,427,15925,北角,"分層單位
大廈"
建康花園高層B室,英皇道62-68號,788,496,15887,北角,"分層單位
大廈"
嘉信大廈B座中層2室,電氣道170-174號,700,441,15873,北角,"分層單位
大廈"
富雅花園5座(金桂閣)高層F室,繼園臺5-6號,728,459,15860,北角,"分層單位
大廈"
華健大廈中層A室,北景街9-11號,750,473,15856,北角,"分層單位
大廈"
百福花園德福閣低層A室,天后廟道157號,650,410,15853,北角,"分層單位
大廈
連租約"
嘉運大廈高層B室,月園街10-16號,320,202,15841,北角,"分層單位
大廈
有寵屋苑"
城市花園2期9座中層B室,電氣道233號,1520,961,15816,北角,"分層單位
大廈"
和富中心2座低層C室,和富道23號,1338,847,15796,北角,"分層單位
大廈
有寵屋苑"
仁寶閣高層D室,和富道74-82號,468,297,15757,北角,"分層單位
大廈"
怡寶洋樓低層D室,堡壘街57-59號,505,321,15732,北角,"分層單位
大廈"
富雅花園4座(金桃閣)低層E室,繼園臺1-2號,707,450,15711,北角,"分層單位
大廈"
和富中心12A座低層E室,和富道45號,1600,1023,15640,北角,"分層單位
大廈
有寵屋苑"
康威大廈低層G室,英皇道406-408號,515,330,15606,北角,"分層單位
大廈"
百福花園景福閣中層GH室,天后廟道173號,1800,1160,15517,北角,"分層單位
大廈"
友福園低層E室,丹拿道44-58號,548,356,15393,北角,"分層單位
大廈"
城市花園2期12座中層D室,電氣道233號,1315,856,15362,北角,"分層單位
大廈"
康福園A座低層B室,英皇道60號,1680,1098,15300,北角,"分層單位
大廈
露台"
富雅花園3座(金楓閣)低層D室,繼園臺9-10號,950,623,15248,北角,"分層單位
大廈"
健威花園B座中層8室,英皇道560號,680,446,15246,北角,"分層單位
大廈
有寵屋苑"
健威花園F座高層5室,英皇道560號,680,446,15246,北角,"分層單位
大廈
有寵屋苑"
明暉大廈A座低層2室,和富道20-36號,320,210,15245,北角,"分層單位
大廈"
民眾大廈高層D室,英皇道135-145號,1050,689,15239,北角,"分層單位
大廈"
明園大廈第一期高層17號,孔雀道1-31號,700,460,15217,北角,"分層單位
大廈"
華禮大廈高層E室,馬寶道62-76號,490,324,15123,北角,"分層單位
大廈"
南方大廈高層H室,英皇道257-273號,708,469,15095,北角,"分層單位
大廈
有寵屋苑"
健威花園D座中層2室,英皇道560號,688,456,15087,北角,"分層單位
大廈
有寵屋苑"
富雅花園5座(金桂閣)低層H室,繼園臺5-6號,638,427,14941,北角,"分層單位
大廈"
丹拿花園3座中層H室,丹拿道18號,980,658,14893,北角,"分層單位
大廈"
城市花園1期3座高層A室,電氣道233號,1200,807,14869,北角,"分層單位
大廈"
城市花園1期2座高層B室,電氣道233號,1200,807,14869,北角,"分層單位
大廈"
嘉信大廈B座低層3室,電氣道170-174號,680,459,14814,北角,"分層單位
大廈"
俊文樓低層C室,建華街14-16號,470,318,14779,北角,"分層單位
大廈
平台"
高發大廈低層C室,渣華道62-68號,720,488,14754,北角,"分層單位
大廈"
南方大廈低層I室,英皇道257-273號,1045,712,14676,北角,"分層單位
大廈
有寵屋苑"
怡昇洋樓中層A室,堡壘街54-60號,598,409,14621,北角,"分層單位
大廈"
康福園A座中層B室,英皇道60號,1600,1098,14571,北角,"分層單位
大廈"
城市花園1期5座低層D室,電氣道233號,1780,1226,14518,北角,"分層單位
大廈"
富雅花園3座(金楓閣)高層D室,繼園臺9-10號,888,612,14509,北角,"分層單位
大廈"
康福園A座低層C室,英皇道60號,1450,1003,14456,北角,"分層單位
大廈"
嘉信大廈A座低層8室,英皇道117-121號,650,450,14444,北角,"分層單位
大廈"
清暉臺低層D室,清華街4-8號,810,562,14412,北角,"分層單位
大廈"
福華洋樓高層17號,建華街17-19號,798,554,14404,北角,"分層單位
大廈"
新達大廈中層A室,英皇道347號,478,332,14397,北角,"分層單位
大廈"
東寶大廈高層E室,英皇道483-497號,680,476,14285,北角,"分層單位
大廈
有寵屋苑"
城市花園2期12座低層C室,電氣道233號,1100,773,14230,北角,"分層單位
大廈"
偉文大廈高層C室,堡壘街11-17號,880,620,14193,北角,"分層單位
大廈"
合偉大廈中層A室,七姊妹道112-114號,650,459,14161,北角,"分層單位
大廈"
合偉大廈高層A室,七姊妹道112-114號,650,459,14161,北角,"分層單位
大廈"
明園大廈第一期中層15號,孔雀道1-31號,650,460,14130,北角,"分層單位
大廈"
富雅花園3座(金楓閣)低層D室,繼園臺9-10號,880,623,14125,北角,"分層單位
大廈"
美麗閣低層C室,英皇道376-380號,500,354,14124,北角,"分層單位
大廈"
明園大廈第二期低層66號,孔雀道26-72號,650,461,14099,北角,"分層單位
大廈"
樂嘉中心1座中層A室,書局街18號,950,675,14074,北角,"分層單位
大廈"
和富中心5座低層D室,和富道29號,1100,788,13959,北角,"分層單位
大廈
有寵屋苑"
金堡大廈B座低層3室,炮台山道5-13號,815,584,13955,北角,"分層單位
大廈"
百福花園德福閣中層A室,天后廟道157號,568,410,13853,北角,"分層單位
大廈"
百福花園德福閣高層E室,天后廟道157號,800,578,13840,北角,"分層單位
大廈"
明園大廈第三期低層C室,孔雀道16-18號,610,441,13832,北角,"分層單位
大廈"
百福花園百佳閣中層G室,天后廟道165號,750,543,13812,北角,"分層單位
大廈"
銀輝大廈中層C室,和富道84-94號,498,361,13795,北角,"分層單位
大廈"
