學校英文名稱,學校中文名稱,就讀學生性別,學校級別,資助種類,學校地址,學校所在分區,學校授課時間
SHAU KEI WAN METHODIST KINDERGARTEN,筲箕灣循道衞理幼稚園,男女,幼稚園,私立,香港筲箕灣愛東邨 愛旭樓地下,東區,下午
SHAU KEI WAN METHODIST KINDERGARTEN,筲箕灣循道衞理幼稚園,男女,幼稚園,私立,香港筲箕灣愛東邨 愛旭樓地下,東區,上午
SA NORTH POINT NURSERY SCHOOL,救世軍北角幼兒學校,男女,幼稚園,私立,香港北角健康中街６號健康邨 平台２層,東區,全日
RAIMONDI COLLEGE KINDERGARTEN SECTION,高主教書院幼稚園部,男女,幼稚園,私立,香港北角建華街３０ 地下至２樓,東區,全日
RAIMONDI COLLEGE KINDERGARTEN SECTION,高主教書院幼稚園部,男女,幼稚園,私立,香港北角建華街３０ 地下至２樓,東區,下午
RAIMONDI COLLEGE KINDERGARTEN SECTION,高主教書院幼稚園部,男女,幼稚園,私立,香港北角建華街３０ 地下至２樓,東區,上午
PO LEUNG KUK WAI YIN KG,保良局慧妍雅集幼稚園,男女,幼稚園,私立,香港鰂魚涌基利路１號鰂魚涌社區綜合大樓 １樓Ａ,東區,全日
OISCA JAPANESE KINDERGARTEN,奧伊斯嘉日本語幼稚園,男女,幼稚園,私立,香港北角孔雀路２６－４８號 明園大廈地下,東區,全日
OISCA JAPANESE KINDERGARTEN,奧伊斯嘉日本語幼稚園,男女,幼稚園,私立,香港北角孔雀路２６－４８號 明園大廈地下,東區,上午
NP METHODIST CHURCH KG (FORTRESS HILL),北角衞理堂幼稚園（炮台山）,男女,幼稚園,私立,香港北角英皇道１６５號公主大廈一樓 １至１１號室,東區,全日
NP METHODIST CHURCH KG (FORTRESS HILL),北角衞理堂幼稚園（炮台山）,男女,幼稚園,私立,香港北角英皇道１６５號公主大廈一樓 １至１１號室,東區,下午
NP METHODIST CHURCH KG (FORTRESS HILL),北角衞理堂幼稚園（炮台山）,男女,幼稚園,私立,香港北角英皇道１６５號公主大廈一樓 １至１１號室,東區,上午
NORTH POINT METHODIST CHURCH KG,北角衞理堂幼稚園,男女,幼稚園,私立,香港北角英皇道１２５－１３３號月明樓 一樓及二樓全層,東區,下午
NORTH POINT METHODIST CHURCH KG,北角衞理堂幼稚園,男女,幼稚園,私立,香港北角英皇道１２５－１３３號月明樓 一樓及二樓全層,東區,上午
NEW JADE ELEMENTI KINDERGARTEN,新翠培元幼稚園,男女,幼稚園,私立,香港柴灣吉勝街新翠商場政府大樓第４層及第５層遊戲場,東區,全日
NEW JADE ELEMENTI KINDERGARTEN,新翠培元幼稚園,男女,幼稚園,私立,香港柴灣吉勝街新翠商場政府大樓第４層及第５層遊戲場,東區,下午
NEW JADE ELEMENTI KINDERGARTEN,新翠培元幼稚園,男女,幼稚園,私立,香港柴灣吉勝街新翠商場政府大樓第４層及第５層遊戲場,東區,上午
MING WAI KINDERGARTEN,明慧幼稚園,男女,幼稚園,私立,香港北角七姊妹道２－８號 ２樓,東區,下午
MING WAI KINDERGARTEN,明慧幼稚園,男女,幼稚園,私立,香港北角七姊妹道２－８號 ２樓,東區,上午
MING WAI INTERNATIONAL KINDERGARTEN,明慧國際幼稚園,男女,幼稚園,私立,香港北角七姊妹道１０－１２號雅利閣 地下及１樓，Ａ及Ｂ室,東區,全日
