學校英文名稱,學校中文名稱,就讀學生性別,學校級別,資助種類,學校地址,學校所在分區,學校授課時間
HKYWCA TAI HON FAN NURSERY SCHOOL,香港基督教女青年會戴翰芬幼兒學校,男女,幼稚園,私立,香港中環皇后大道中９９號 中環中心地下,中西區,全日
HKSPC THOMAS TAM NURSERY SCHOOL,香港保護兒童會譚雅士幼兒學校,男女,幼稚園,私立,香港西營盤醫院道 佐治五世紀念公園,中西區,全日
HK MAN SANG KG (WESTERN DISTRICT),香港民生幼稚園（西區）,男女,幼稚園,私立,香港皇后大道西５１３－５１９號尼斯花園 地下Ａ舖及一樓,中西區,全日
HK MAN SANG KG (WESTERN DISTRICT),香港民生幼稚園（西區）,男女,幼稚園,私立,香港皇后大道西５１３－５１９號尼斯花園 地下Ａ舖及一樓,中西區,下午
HK MAN SANG KG (WESTERN DISTRICT),香港民生幼稚園（西區）,男女,幼稚園,私立,香港皇后大道西５１３－５１９號尼斯花園 地下Ａ舖及一樓,中西區,上午
HIGHGATE HOUSE SCHOOL - THE PEAK,,男女,幼稚園,私立,香港山頂道１００－１０４號牛奶公司商場Ｂ座２字樓６號舖,中西區,下午
HIGHGATE HOUSE SCHOOL - THE PEAK,,男女,幼稚園,私立,香港山頂道１００－１０４號牛奶公司商場Ｂ座２字樓６號舖,中西區,上午
GUIDEPOST MONTESSORI INT'L KG (KEN TOWN),,男女,幼稚園,私立,香港西環皇后大道西５５４－５６０號百好大樓地下Ｃ號舖 部份、１樓及２樓,中西區,下午
GUIDEPOST MONTESSORI INT'L KG (KEN TOWN),,男女,幼稚園,私立,香港西環皇后大道西５５４－５６０號百好大樓地下Ｃ號舖 部份、１樓及２樓,中西區,上午
FAIRCHILD KINDERGARTEN,楓薈幼稚園,男女,幼稚園,私立,香港干諾道西１８５號至１８５Ｂ德輔道西３５１至３５１號Ｃ及屈地屈街３－７號光前大廈 ８號舖及１樓全層,中西區,下午
FAIRCHILD KINDERGARTEN,楓薈幼稚園,男女,幼稚園,私立,香港干諾道西１８５號至１８５Ｂ德輔道西３５１至３５１號Ｃ及屈地屈街３－７號光前大廈 ８號舖及１樓全層,中西區,上午
ELCHK  AMAZING GRACE NURSERY SCHOOL,基督教香港信義會基恩幼兒學校,男女,幼稚園,私立,香港高街２號西營盤社區綜合大樓 ３樓,中西區,全日
DISCOVERY MONTESSORI SCHOOL (CENTRAL),香港國際蒙特梭利學校（中環）,男女,幼稚園,私立,香港上環文咸東街３５－４３號 文華大廈３樓,中西區,全日
DISCOVERY MONTESSORI SCHOOL (CENTRAL),香港國際蒙特梭利學校（中環）,男女,幼稚園,私立,香港上環文咸東街３５－４３號 文華大廈３樓,中西區,下午
DISCOVERY MONTESSORI SCHOOL (CENTRAL),香港國際蒙特梭利學校（中環）,男女,幼稚園,私立,香港上環文咸東街３５－４３號 文華大廈３樓,中西區,上午
CITY KIDS PRESCHOOL AND PLAYGROUP,,男女,幼稚園,私立,香港半山區波老道１２號 ３樓東翼,中西區,下午
CITY KIDS PRESCHOOL AND PLAYGROUP,,男女,幼稚園,私立,香港半山區波老道１２號 ３樓東翼,中西區,上午
CHIU YANG KINDERGARTEN,潮陽幼稚園,男女,幼稚園,私立,香港上環德輔道西３８號 ２字樓,中西區,全日
CHERISH ENGLISH SCHOOL & KINDERGARTEN,卓基英文學校暨幼稚園,男女,幼稚園,私立,香港堅尼地城西環邨東苑台地下 及閣樓ＫＧ０１號舖,中西區,全日
CHERISH ENGLISH SCHOOL & KINDERGARTEN,卓基英文學校暨幼稚園,男女,幼稚園,私立,香港堅尼地城西環邨東苑台地下 及閣樓ＫＧ０１號舖,中西區,下午
CHERISH ENGLISH SCHOOL & KINDERGARTEN,卓基英文學校暨幼稚園,男女,幼稚園,私立,香港堅尼地城西環邨東苑台地下 及閣樓ＫＧ０１號舖,中西區,上午
CARMEL SCHOOL,,男女,幼稚園,私立,香港半山羅便臣道７０號 ３＆４樓,中西區,上午
CARITAS ST FRANCIS KINDERGARTEN,明愛聖方濟各幼稚園,男女,幼稚園,私立,香港中環堅道二號 明愛中心Ｂ座 ４樓,中西區,全日
CARITAS ST FRANCIS KINDERGARTEN,明愛聖方濟各幼稚園,男女,幼稚園,私立,香港中環堅道二號 明愛中心Ｂ座 ４樓,中西區,上午
CARITAS NURSERY SCHOOL - KENNEDY TOWN,明愛堅尼地城幼兒學校,男女,幼稚園,私立,香港堅尼地城蒲菲路２７號堅尼地城明愛服務中心Ａ座２樓，Ｂ座１樓部份， Ｍ１樓部份，２樓Ａ座,中西區,全日
CARITAS LING YUET SIN KINDERGARTEN,明愛凌月仙幼稚園,男女,幼稚園,私立,香港薄扶林道５４號地下至２樓,中西區,全日
CARITAS LING YUET SIN KINDERGARTEN,明愛凌月仙幼稚園,男女,幼稚園,私立,香港薄扶林道５４號地下至２樓,中西區,上午
CANNAN KINDERGARTEN (CENTRAL CAINE ROAD),迦南幼稚園（中環堅道）,男女,幼稚園,私立,香港中環堅道９９號 豐樂閣一樓前座,中西區,下午
CANNAN KINDERGARTEN (CENTRAL CAINE ROAD),迦南幼稚園（中環堅道）,男女,幼稚園,私立,香港中環堅道９９號 豐樂閣一樓前座,中西區,上午
