web-scraper-order,001,002,003,004,005,006,007
1703920161-661,恆陞大樓 低層 5室,高街48-78號,600 萬,405,"$14,814/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              平台"
1703920159-660,柏蔚山 1座 中層 H室,繼園街1號,"2,020 萬",617,"$32,739/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703920157-659,東駿苑 銀駿閣 (B座) 中層 6室,耀興道33號,380 萬,438,未補,西灣河,"分層單位
              大廈"
1703920155-658,百福花園 德福閣 低層 F室,天后廟道157號,484 萬,401,"$12,069/呎",北角,"分層單位
              大廈"
1703920153-657,地利根德閣 1座 低層 B室,地利根德里14號,"6,500 萬","2,330","$27,897/呎",中半山,"分層單位
              大廈
              有寵屋苑
              露台"
1703920151-656,嘉亨灣 6座 低層 B室,太康街38號,"2,100 萬",749,"$28,037/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703920149-655,城市花園 1期 2座 高層 E室,電氣道233號,"1,100 萬",807,"$13,630/呎",北角,"分層單位
              大廈"
1703920147-654,柏蔚山 1座 低層 H室,繼園街1號,"1,700 萬",617,"$27,552/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703920144-653,峻峰花園 B座 高層 7室,寶文街1號,750 萬,450,"$16,668/呎",筲箕灣 | 柴灣,"分層單位
              大廈"
1703920142-652,形薈 1B座 高層 B室,筲箕灣道393號,860 萬,358,"$24,022/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703920140-651,金源洋樓 B座 低層 7室,柴灣道345號,310 萬,245,"$12,653/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              平台"
1703920139-650,高雲臺 高層 D室,西摩道2號,"1,580 萬",763,"$20,707/呎",西半山,"分層單位
              大廈"
1703920136-649,盈峰一號 低層 C室,和風街1號,"1,100 萬",530,"$20,754/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703920135-648,慧豪閣 2座 低層 F室,干德道22號,"1,290 萬",636,"$20,283/呎",西半山,"分層單位
              大廈"
1703920132-647,形薈 1A座 中層 D室,筲箕灣道393號,700 萬,330,"$21,212/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑
              露台"
1703920130-646,嘉亨灣 2座 中層 E室,太康街38號,980 萬,490,"$20,000/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703920128-645,太古城 海景花園(西) 銀柏閣 (38座) 中層 F室,太古灣道16號,"1,500 萬",897,"$16,722/呎",太古城,"分層單位
              大廈"
1703920126-644,鯉景灣 D段 安明閣 (17座) 低層 B室,太安街21號,960 萬,520,"$18,461/呎",西灣河,"分層單位
              大廈"
1703920125-643,栢蕙苑 寧柏閣 (4座) 高層 A室,基利路2-8號,"1,170 萬",659,"$17,754/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703920122-642,景暉閣 高層 A室,天后廟道19-21號,880 萬,400,"$22,000/呎",北角半山,"分層單位
              大廈"
1703920120-641,嘉亨灣 2座 中層 F室,太康街38號,"1,100 萬",498,"$22,088/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703920118-640,太古城 星輝台 智星閣 (51座) 中層 F室,太古城道16號,960 萬,664,"$14,457/呎",太古城,"分層單位
              大廈"
1703920116-639,太古城 金殿台 漢宮閣 (24座) 高層 H室,太古城道26號,"1,400 萬",709,"$19,746/呎",太古城,"分層單位
              大廈"
1703920115-638,富豪閣 3座 高層 B室,雲景道56號,"1,100 萬",723,"$15,214/呎",北角半山,"分層單位
              大廈
              有寵屋苑"
1703920112-637,君豪峰 低層 Q室,英皇道856號,700 萬,299,"$23,411/呎",康怡 | 鰂魚涌,"分層單位
              大廈
              有寵屋苑"
1703920110-636,嘉亨灣 5座 高層 F室,太康街38號,"1,200 萬",498,"$24,096/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703920108-635,大新閣 低層 C室,卑路乍街3-3A號,739 萬,457,"$16,170/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703920106-634,康怡花園 P座 (9-16室) 低層 11室,康安街10-12號,750 萬,466,"$16,094/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703920104-633,星鑽 中層 J室,第三街88號,"1,420 萬",499,"$28,456/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703920102-632,君豪峰 中層 K室,英皇道856號,650 萬,293,"$22,184/呎",康怡 | 鰂魚涌,"分層單位
              大廈
              有寵屋苑"
1703920100-631,太古城 金殿台 漢宮閣 (24座) 中層 C室,太古城道26號,"1,228 萬",580,"$21,172/呎",太古城,"分層單位
              大廈"
1703920098-630,雍景臺 2座 高層 G室,羅便臣道70號,"2,800 萬","1,119","$25,022/呎",西半山,"分層單位
              大廈"
1703920096-629,城市花園 1期 2座 高層 B室,電氣道233號,"1,200 萬",807,"$14,869/呎",北角,"分層單位
              大廈"
1703920094-628,荔安大廈 中層 C室,水街2-2C號,530 萬,348,"$15,229/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703920092-627,富麗園 C座 低層 2室,雲景道50號,"1,250 萬",837,"$14,934/呎",北角半山,"分層單位
              大廈
              有寵屋苑"
1703920090-626,康怡花園 H座 (9-16室) 高層 11室,康盛街1-3號,850 萬,522,"$16,283/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703920088-625,太古城 星輝台 衛星閣 (49座) 高層 B室,太古城道12號,"1,100 萬",582,"$18,900/呎",太古城,"分層單位
              大廈"
1703920086-624,君譽峰 中層 J室,馬寶道3號,610 萬,258,"$23,643/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703920083-623,康怡花園 H座 (1-8室) 高層 1室,康盛街1-3號,"1,800 萬",994,"$18,108/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703920082-622,太古城 金殿台 漢宮閣 (24座) 高層 F室,太古城道26號,"1,280 萬",723,"$17,704/呎",太古城,"分層單位
              大廈"
1703920080-621,柏匯 高層 G室,成安街33號,480 萬,209,"$22,966/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703920077-620,太古城 星輝台 銀星閣 (53座) 低層 E室,太豐路1號,"1,280 萬",749,"$17,089/呎",太古城,"分層單位
              大廈"
1703920076-619,南豐新邨 5座 中層 H室,基利路40號,730 萬,570,"$12,807/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703920074-618,嘉亨灣 1座 低層 H室,太康街38號,"1,100 萬",493,"$22,312/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703920071-617,栢蕙苑 祥柏閣 (1座) 中層 G室,基利路2-8號,"1,300 萬",692,"$18,786/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703920070-616,穎章大廈 低層 D室,般咸道37-47號,"1,000 萬",686,"$14,577/呎",西半山,"分層單位
              大廈"
1703920068-615,慧苑 低層 1室,克頓道,"3,200 萬","1,030","$31,067/呎",西半山,"分層單位
              大廈"
1703920066-614,鯉景灣 D段 安澤閣 (15座) 低層 C室,鯉景道64號,900 萬,558,"$16,129/呎",西灣河,"分層單位
              大廈"
1703920064-613,君豪峰 中層 A室,英皇道856號,550 萬,234,"$23,504/呎",康怡 | 鰂魚涌,"分層單位
              大廈
              有寵屋苑"
1703920061-612,翰林峰 2座 中層 E室,皇后大道西460號,630 萬,224,"$28,125/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑
              露台"
1703920060-611,華曦大廈 高層 A室,堡壘街10-16號,"1,400 萬","1,212","$11,551/呎",北角,"分層單位
              大廈"
1703920058-610,恒柏園 A座 低層 4室,列堤頓道1號,"2,400 萬","1,455","$16,494/呎",西半山,"分層單位
              大廈
              露台"
1703920055-609,鯉景灣 D段 安曉閣 (13座) 低層 F室,鯉景道60號,900 萬,565,"$15,929/呎",西灣河,"分層單位
              大廈"
1703920053-608,藍灣半島 8座 中層 B室,小西灣道28號,"1,350 萬",811,"$16,646/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703920052-607,栢蕙苑 寧柏閣 (4座) 高層 E室,基利路2-8號,"1,300 萬",626,"$20,766/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703920048-606,柏匯 高層 F室,成安街33號,550 萬,211,"$26,066/呎",西灣河,"分層單位
              大廈
              有寵屋苑
              露台"
1703920045-605,大安臺 8 號 低層 B室,大安臺8號,700 萬,333,"$21,021/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703920043-604,康威花園 A座 高層 1室,新街市街8號,950 萬,425,"$22,352/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703920040-603,豐昌大廈 低層 B室,和富道38-48號,700 萬,337,"$20,771/呎",北角,"分層單位
              大廈"
1703920039-602,東熹苑 逸熹閣 (B座) 低層 8室,耀興道38號,520 萬,546,未補,西灣河,"分層單位
              大廈"
1703920037-601,藍灣半島 9座 高層 D室,小西灣道28號,"1,400 萬",752,"$18,617/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703920034-600,君譽峰 低層 K室,馬寶道3號,600 萬,257,"$23,346/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703920033-599,鯉景灣 D段 安澤閣 (15座) 低層 A室,鯉景道64號,"1,100 萬",648,"$16,975/呎",西灣河,"分層單位
              大廈"
1703920031-598,恆興樓 中層 A室,福壽里2號,550 萬,286,"$19,209/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703920029-597,形薈 1A座 高層 H室,筲箕灣道393號,620 萬,281,"$22,064/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑
              露台"
1703920027-596,穎章大廈 中層 D室,般咸道37-47號,"1,298 萬",686,"$18,921/呎",西半山,"分層單位
              大廈"
1703920025-595,藍灣半島 7座 高層 G室,小西灣道28號,830 萬,455,"$18,241/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703920023-594,康德大廈 低層 8室,天后廟道95-97號,"1,700 萬","1,109","$15,329/呎",北角半山,"分層單位
              大廈
              平台
              車位"
1703920021-593,富澤花園 富慧閣 低層 A室,炮台山道32號,"1,600 萬",798,"$20,050/呎",北角半山,"分層單位
              大廈"
1703920018-592,興民大廈 中層 A室,興民街46-48號,360 萬,192,"$18,750/呎",西灣河,"分層單位
              大廈"
1703920017-591,東熹苑 華熹閣 (C座) 中層 15室,耀興道38號,420 萬,435,未補,西灣河,"分層單位
              大廈"
1703920015-590,華利樓 高層 E室,皇后大道西210-218號,500 萬,260,"$19,230/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703920013-589,君譽峰 低層 K室,馬寶道3號,750 萬,257,"$29,182/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703920011-588,兆宜大廈 中層 D室,皇后大道西590-596A號,430 萬,355,"$12,112/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703920008-587,興民大廈 低層 B室,興民街46-48號,380 萬,192,"$19,791/呎",西灣河,"分層單位
              大廈"
1703920007-586,明園大廈 第一期 中層 15號,孔雀道1-31號,650 萬,460,"$14,130/呎",北角,"分層單位
              大廈"
1703920005-585,富雅花園 3座 (金楓閣) 低層 D室,繼園臺9-10號,880 萬,623,"$14,125/呎",北角,"分層單位
              大廈"
1703920003-584,My Central 低層 C室,嘉咸街23號,"1,990 萬",663,"$30,015/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703920001-583,東霖苑 高層 4室,耀興道63號,500 萬,603,未補,西灣河,"分層單位
              大廈"
1703919999-582,巴丙頓山 低層 D室,巴丙頓道23號,"1,950 萬",580,"$33,620/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703919996-581,五洲大廈 低層 G室,英皇道290-304號,588 萬,533,"$11,031/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703919994-580,佳翠苑 顯翠閣 (A座) 低層 3室,小西灣道16號,500 萬,606,未補,筲箕灣 | 柴灣,"分層單位
              大廈"
1703919992-579,嘉榮大廈 高層 D室,海灣街4-6號,680 萬,382,"$17,801/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703919990-578,形薈 1B座 中層 A室,筲箕灣道393號,"1,100 萬",491,"$22,403/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703919989-577,薄扶林道63號 2座 (Emerald House) 高層 C室,薄扶林道63號,790 萬,271,"$29,151/呎",西半山,"分層單位
              大廈"
1703919985-576,百合苑 低層 C室,般咸道20-22號,800 萬,396,"$20,202/呎",西半山,"分層單位
              大廈"
1703919982-575,富山苑 中層 B室,山道61-69號,690 萬,357,"$19,327/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919981-574,美菲閣 2座 高層 A室,士美非路43號,650 萬,392,"$16,581/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919979-573,尚譽 低層 A室,月園街1號,480 萬,195,"$24,615/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703919976-572,Mount Parker Residences 低層 C室,西灣臺1號,"3,380 萬","1,353","$24,981/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703919975-571,甘泉大廈 中層 B室,德輔道西59-61號,530 萬,483,"$10,973/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919973-570,得利大廈 高層 4室,英皇道993號,420 萬,384,"$10,937/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703919970-569,君譽峰 中層 N室,馬寶道3號,740 萬,258,"$28,682/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703919969-568,雍景臺 1座 高層 E室,羅便臣道70號,"2,900 萬","1,117","$25,962/呎",西半山,"分層單位
              大廈"
1703919967-567,蔚晴軒 低層 C室,英輝台3號,950 萬,383,"$24,804/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703919964-566,金堡大廈 B座 低層 3室,炮台山道5-13號,815 萬,584,"$13,955/呎",北角,"分層單位
              大廈"
1703919963-565,君譽峰 低層 E室,馬寶道3號,580 萬,205,"$28,292/呎",北角,"分層單位
              大廈
              有寵屋苑
              露台"
1703919960-564,仁信大廈 高層 C室,第三街142-150號,455 萬,240,"$18,958/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919959-563,萬邦大廈 中層 B室(111號),蘇杭街111-115號,550 萬,324,"$16,975/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919957-562,雍景臺 1座 低層 C室,羅便臣道70號,"2,550 萬","1,123","$22,707/呎",西半山,"分層單位
              大廈"
1703919954-561,薄扶林道63號 2座 (Emerald House) 中層 C室,薄扶林道63號,870 萬,271,"$32,103/呎",西半山,"分層單位
              大廈"
1703919952-560,藍灣半島 7座 高層 E室,小西灣道28號,858 萬,566,"$15,159/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703919950-559,杏花邨 32座 高層 1室,盛泰道100號,"1,980 萬","1,028","$19,260/呎",杏花邨,"分層單位
              大廈"
1703919949-558,百福花園 鴻福閣 高層 E室,天后廟道169號,660 萬,597,"$11,055/呎",北角,"分層單位
              大廈"
1703919946-557,嘉運大廈 高層 B室,月園街10-16號,320 萬,202,"$15,841/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703919944-556,鯉景灣 D段 安澤閣 (15座) 中層 C室,鯉景道64號,950 萬,601,"$15,806/呎",西灣河,"分層單位
              大廈"
1703919942-555,藍灣半島 7座 高層 A室,小西灣道28號,"3,800 萬","1,643","$23,128/呎",筲箕灣 | 柴灣,"相鄰單位
              大廈
              有寵屋苑"
1703919940-554,東興大廈 低層 D室,筲箕灣東大街28-40號,550 萬,434,"$12,672/呎",筲箕灣 | 柴灣,"分層單位
              大廈"
1703919938-553,宇宙閣 2座 高層 A1室,建華街18-26號,920 萬,780,"$11,794/呎",北角,"分層單位
              大廈"
1703919937-552,天興大廈 高層 F室,德輔道西295-305號,620 萬,538,"$11,524/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919935-551,東熹苑 耀熹閣 (D座) 中層 13室,耀興道38號,580 萬,546,未補,西灣河,"分層單位
              大廈"
1703919932-550,福華洋樓 中層 17號,建華街17-19號,750 萬,554,"$13,537/呎",北角,"分層單位
              大廈"
1703919930-549,寶慶大廈 低層 C室,華寧里1-6號,715 萬,397,"$18,010/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919928-548,逸瑆 高層 E室,西灣河街9號,658 萬,285,"$23,087/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703919926-547,東熹苑 耀熹閣 (D座) 高層 5室,耀興道38號,528 萬,541,未補,西灣河,"分層單位
              大廈"
1703919924-546,高望大樓 中層 E室,筲箕灣道142-146號,338 萬,337,"$10,029/呎",西灣河,"分層單位
              大廈"
1703919922-545,尚譽 低層 D室,月園街1號,398 萬,163,"$24,417/呎",北角,"分層單位
              大廈
              有寵屋苑
              露台
              平台"
1703919920-544,尚譽 中層 D室,月園街1號,468 萬,167,"$28,023/呎",北角,"分層單位
              大廈
              有寵屋苑
              露台"
1703919918-543,高發大廈 低層 C室,渣華道62-68號,720 萬,488,"$14,754/呎",北角,"分層單位
              大廈"
1703919916-542,東熹苑 耀熹閣 (D座) 高層 12室,耀興道38號,555 萬,538,未補,西灣河,"分層單位
              大廈"
1703919915-541,東寶大廈 低層 D室,筲箕灣東大街4號,698 萬,558,"$12,508/呎",筲箕灣 | 柴灣,"分層單位
              大廈"
1703919912-540,福陞閣 低層 A室,皇后大道中378號,"1,200 萬",696,"$17,241/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919910-539,柏匯 高層 C室,成安街33號,470 萬,209,"$22,488/呎",西灣河,"分層單位
              大廈
              有寵屋苑
              露台"
1703919909-538,形薈 1A座 高層 E室,筲箕灣道393號,580 萬,307,"$18,892/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703919906-537,富利來大廈 C座 高層 1室,京華道9-27號,499 萬,225,"$22,177/呎",北角,"分層單位
              大廈"
1703919904-536,柏匯 中層 B室,成安街33號,394 萬,210,"$18,761/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703919902-535,新威園 C座 高層 3室,英皇道989-991A號,728 萬,563,"$12,930/呎",康怡 | 鰂魚涌,"分層單位
              大廈
              有寵屋苑"
1703919900-534,香島 5座 低層 D室,柴灣道33號,"1,050 萬",513,"$20,467/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703919898-533,華禮大廈 高層 E室,馬寶道62-76號,490 萬,324,"$15,123/呎",北角,"分層單位
              大廈"
1703919896-532,逸瑆 低層 F室,西灣河街9號,798 萬,386,"$20,673/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703919894-531,和富中心 17座 低層 B室,和富道53號,"1,600 萬","1,267","$12,628/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703919893-530,藝里坊．1號 中層 D室,忠正街8號,850 萬,259,"$32,818/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703919890-529,貝璐道 洋房,貝璐道,1.8 億,"2,090","$86,124/呎",山頂 | 南區,
1703919888-528,嘉兆臺 1座 低層 D室,羅便臣道10號,"1,498 萬",780,"$19,205/呎",西半山,"分層單位
              大廈"
1703919886-527,灣景園 中層 G室,康民街3號,950 萬,624,"$15,224/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703919884-526,碧華閣 高層 1室,德輔道西464-464D號,610 萬,333,"$18,318/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919882-525,逸濤灣 冬和軒 (4座) 低層 B室,太安街28號,"1,350 萬",561,"$24,064/呎",西灣河,"分層單位
              大廈"
1703919880-524,維港峰 低層 C室,干諾道西180號,"1,890 萬",540,"$35,000/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑
              連租約"
1703919879-523,南雄大廈 B座 低層 4室,卑路乍街5-5H號,485 萬,362,"$13,397/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703919877-522,嘉兆臺 1座 中層 D室,羅便臣道10號,"1,650 萬",780,"$21,153/呎",西半山,"分層單位
              大廈"
1703919874-521,和發大廈 高層 F室,皇后大道西533-543號,488 萬,274,"$17,810/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919872-520,杏花邨 42座 中層 5室,盛泰道100號,820 萬,547,"$14,990/呎",杏花邨,"分層單位
              大廈"
1703919870-519,My Central 中層 C室,嘉咸街23號,"2,300 萬",663,"$34,690/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703919868-518,聯基新樓 高層 4室,卑路乍街124-134號,620 萬,382,"$16,230/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919866-517,翰林峰 5座 中層 D室,皇后大道西460號,640 萬,230,"$27,826/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑
              露台
              連租約"
1703919864-516,嘉雲樓 高層 1室,北角道14A-14C號,"1,200 萬",629,"$19,077/呎",北角,"分層單位
              大廈"
1703919862-515,翰庭軒 高層 B室,堅道75號,"1,150 萬",485,"$23,711/呎",西半山,"分層單位
              大廈"
1703919860-514,No. 1 加冕臺 高層 C室,加冕臺1號,"1,600 萬",419,"$38,186/呎",西半山,"分層單位
              大廈"
1703919858-513,應彪大廈 中層 B室,卑利士道1-3號,930 萬,404,"$23,019/呎",西半山,"分層單位
              大廈"
1703919856-512,藍灣半島 1座 高層 D室,小西灣道28號,"3,680 萬","1,472","$25,000/呎",筲箕灣 | 柴灣,"相鄰單位
              大廈
              有寵屋苑"
1703919853-511,東熹苑 逸熹閣 (B座) 低層 5室,耀興道38號,600 萬,546,已補,西灣河,"分層單位
              大廈"
1703919852-510,One Eighty 低層 C室,筲箕灣道180號,630 萬,248,"$25,403/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703919849-509,杏花邨 49座 低層 7室,盛泰道100號,"1,150 萬",659,"$17,450/呎",杏花邨,"分層單位
              大廈"
1703919848-508,太古城 高山台 恆山閣 (12座) 高層 F室,太古城道19號,"1,000 萬",581,"$17,211/呎",太古城,"分層單位
              大廈"
1703919846-507,嘉亨灣 5座 低層 C室,太康街38號,"2,180 萬",749,"$29,105/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703919844-506,南雄大廈 B座 低層 8室,卑路乍街5-5H號,520 萬,368,"$14,130/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703919842-505,太安樓 低層 58室,筲箕灣道57-87號,370 萬,352,"$10,511/呎",西灣河,"分層單位
              大廈"
1703919840-504,景翠苑 中層 6室,峰霞道8號,410 萬,443,已補,筲箕灣 | 柴灣,"分層單位
              大廈"
1703919838-503,平安大廈 低層 C室,巴丙頓道1B號,"1,280 萬",786,"$16,284/呎",西半山,"分層單位
              大廈"
1703919835-502,金堡大廈 A座 中層 3室,炮台山道5-13號,950 萬,584,"$16,267/呎",北角,"分層單位
              大廈"
1703919833-501,桃李園 低層 D室,桃李臺15-19號,628 萬,418,"$15,023/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919831-500,太成樓 低層 A室,鰂魚涌街122號,360 萬,267,"$13,483/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703919830-499,薄扶林道63號 2座 (Emerald House) 低層 B室,薄扶林道63號,900 萬,310,"$29,032/呎",西半山,"分層單位
              大廈"
1703919827-498,北街 D室,北街,350 萬,238,"$14,705/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919825-497,藍灣半島 5座 高層 H室,小西灣道28號,650 萬,323,"$20,123/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703919823-496,太古城 海景花園(西) 紫樺閣 (36座) 低層 B室,太古灣道20號,"1,850 萬","1,015","$18,226/呎",太古城,"分層單位
              大廈"
1703919821-495,君譽峰 中層 H室,馬寶道3號,"1,050 萬",365,"$28,767/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703919820-494,明軒 低層 B室,明園西街16-22號,"1,380 萬",681,"$20,264/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703919818-493,宜新大廈 高層 41號,羅便臣道39-41A號,"1,680 萬",739,"$22,733/呎",西半山,"分層單位
              大廈"
1703919816-492,廣堅大廈 低層 A室,堅道22-22A號,820 萬,436,"$18,807/呎",西半山,"分層單位
              大廈"
1703919813-491,建業大廈 高層 D室,渣華道24號,450 萬,229,"$19,650/呎",北角,"分層單位
              大廈"
1703919812-490,薈臻 低層 A室,桂香街1號,670 萬,328,"$20,426/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703919806-489,得利大廈 低層 4室,皇后大道西270-280號,518 萬,201,"$25,771/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919804-488,北角中心大廈 B座 高層 1室,英皇道278-288號,"1,080 萬",798,"$13,533/呎",北角,"分層單位
              大廈"
1703919803-487,豪景臺 低層 E室,四方街26號,748 萬,392,"$19,081/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919800-486,形薈 1A座 中層 J室,筲箕灣道393號,598 萬,333,"$17,957/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑
              露台"
1703919798-485,益昌大廈 中層 8室,英皇道1046號,350 萬,299,"$11,705/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703919796-484,康山花園 3座 高層 D室,英皇道1114號,595 萬,484,已補,康怡 | 鰂魚涌,"分層單位
              大廈"
1703919795-483,金徽閣 中層 C室,干德道45號,"4,000 萬","1,682","$23,781/呎",西半山,"分層單位
              大廈"
1703919792-482,悅翠苑 高層 9室,茵翠街9號,650 萬,645,未補,筲箕灣 | 柴灣,"分層單位
              大廈"
1703919790-481,加多近山 中層 C室,加多近街37A號,"1,100 萬",375,"$29,333/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919788-480,薄扶林道63號 2座 (Emerald House) 中層 D室,薄扶林道63號,860 萬,270,"$31,851/呎",西半山,"分層單位
              大廈"
1703919786-479,南北行大廈 高層 B室,文咸西街22-28號,680 萬,441,"$15,419/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919785-478,得利大廈 中層 6室,英皇道993號,460 萬,423,"$10,874/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703919782-477,富澤軒 低層 A室,堡壘街38A號,610 萬,332,"$18,373/呎",北角,"分層單位
              大廈"
1703919779-476,泓都 3座 低層 E室,爹核士街8號,990 萬,471,"$21,019/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703919777-475,My Central 中層 B室,嘉咸街23號,"4,850 萬",976,"$49,677/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703919775-474,翰庭軒 中層 A室,堅道75號,950 萬,446,"$21,300/呎",西半山,"分層單位
              大廈"
1703919773-473,杏花邨 34座 高層 7室,盛泰道100號,950 萬,653,"$14,548/呎",杏花邨,"分層單位
              大廈"
1703919771-472,永興樓 低層,皇后大道西476-482號,598 萬,436,"$13,715/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919769-471,華冠大廈 中層 E室,荷李活道181-199號,518 萬,313,"$16,549/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919768-470,薄扶林道63號 2座 (Emerald House) 低層 C室,薄扶林道63號,830 萬,271,"$30,627/呎",西半山,"分層單位
              大廈"
1703919764-469,金裕大廈 中層 A室,甘雨街8號,750 萬,490,"$15,306/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703919763-468,柏匯 中層 E室,成安街33號,500 萬,209,"$23,923/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703919761-467,健威花園 D座 中層 2室,英皇道560號,688 萬,456,"$15,087/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703919758-466,Island Residence 低層 B室,筲箕灣道163號,620 萬,238,"$26,050/呎",西灣河,"分層單位
              大廈
              有寵屋苑
              露台"
