專營巴士路線列表				
港島巴士				
980X	烏溪沙站	→	灣仔（菲林明道）	只限平日繁忙時間服務
980X	灣仔（菲林明道）	←	金鐘（東）	只限平日繁忙時間服務
981P	馬鞍山（耀安）	→	灣仔（菲林明道）	只限平日繁忙時間服務
981P	馬鞍山（耀安）	←	金鐘（東）	只限平日繁忙時間服務
982X	沙田（愉翠苑）	→	灣仔（菲林明道）	只限平日繁忙時間服務
982X	沙田（愉翠苑）	←	金鐘（東）	只限平日繁忙時間服務
985	美田（美致樓）	→	銅鑼灣	只限平日繁忙時間服務
985	美田	←	金鐘（東）	只限平日繁忙時間服務
985A	美田（美致樓）	→	銅鑼灣	只限平日上午繁忙時間服務
985B	田心村	→	銅鑼灣	只限平日上午繁忙時間服務
P960	兆康站（北）	⇄	會展站	
P968	元朗（西）	⇄	銅鑼灣（天后）	每日早上08:30班次之前往港島的班次以朗屏站為起點站
N930	荃灣（愉景新城）	⇄	銅鑼灣（摩頓台）	通宵服務
N952	屯門（置樂花園）	⇄	銅鑼灣（摩頓台）	通宵服務
N960	會展站	⇄	屯門（建生邨）	通宵服務
N962	屯門（龍門居）	⇄	銅鑼灣（摩頓台）	通宵服務
N969	天水圍市中心	⇄	銅鑼灣（摩頓台）	通宵服務
X962	金鐘（西）	→	屯門（龍門居）	只限平日下午繁忙時間服務
